No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,DEWP,PRES,RAIN,WSPM,station,,TEMP mean,PRES mean,DEWP mean,RAIN mean,WSPM mean,,TEMP std,PRES std,DEWP std,RAIN std,WSPM std
33649,2017,1,1,0,214,234,13,119,4100,2,-4.7,-10.7,1016.9,0,0.4,Changping,,,,,,,,,,,,
33650,2017,1,1,1,225,225,11,96,4000,2,-5.1,-10.7,1016.9,0,1.3,Changping,,,,,,,,,,,,
33651,2017,1,1,2,265,318,51,69,4500,2,-5.4,-10.6,1017.2,0,0.3,Changping,,,,,,,,,,,,
33652,2017,1,1,3,360,411,7,67,4500,2,-5.8,-10.2,1017.3,0,1,Changping,,,,,,,,,,,,
33653,2017,1,1,4,399,457,2,51,2200,4,-6.2,-10.6,1016.4,0,0.6,Changping,,,,,,,,,,,,
33654,2017,1,1,5,438,465,2,122,5400,5,-6,-9.4,1016,0,0.7,Changping,,,,,,,,,,,,
33655,2017,1,1,6,469,564,3,122,7700,7,-6.1,-8.2,1016.3,0,0.9,Changping,,,,,,,,,,,,
33656,2017,1,1,7,479,491,3,118,7900,6,-7.2,-10.1,1016.6,0,1.6,Changping,,,,,,,,,,,,
33657,2017,1,1,8,476,557,5,121,9000,7,-7.3,-9.4,1017.2,0,1.3,Changping,,,,,,,,,,,,
33658,2017,1,1,9,488,529,4,117,8700,6,-6.8,-8.2,1017.4,0,1,Changping,,,,,,,,,,,,
33659,2017,1,1,10,494,562,7,132,8600,7,-5.1,-7.2,1017.2,0,0.9,Changping,,,,,,,,,,,,
33660,2017,1,1,11,560,597,15,165,8900,5,-3.7,-6.6,1016.8,0,0.8,Changping,,,,,,,,,,,,
33661,2017,1,1,12,662,675,20,203,9500,5,-1.7,-6.6,1015.7,0,1.2,Changping,,,,,,,,,,,,
33662,2017,1,1,13,544,544,30,193,7500,5,1.1,-8.4,1014.7,0,0.8,Changping,,,,,,,,,,,,
33663,2017,1,1,14,399,399,27,167,5600,5,3,-8.7,1013.8,0,1.4,Changping,,,,,,,,,,,,
33664,2017,1,1,15,348,348,24,155,4900,6,2.8,-8.3,1013.7,0,1.2,Changping,,,,,,,,,,,,
33665,2017,1,1,16,321,321,24,151,4500,7,2.1,-7.8,1013.7,0,1,Changping,,,,,,,,,,,,
33666,2017,1,1,17,398,439,25,179,6100,5,0.8,-8,1013.6,0,0.9,Changping,,,,,,,,,,,,
33667,2017,1,1,18,443,475,17,191,7200,6,-0.7,-7.9,1013.7,0,0.9,Changping,,,,,,,,,,,,
33668,2017,1,1,19,448,448,15,182,7200,6,-1,-7.4,1014.2,0,1.2,Changping,,,,,,,,,,,,
33669,2017,1,1,20,477,572,11,168,7000,5,-1.2,-5.4,1015,0,1.7,Changping,,,,,,,,,,,,
33670,2017,1,1,21,523,590,7,158,7400,5,-2.3,-5.6,1015.4,0,1,Changping,,,,,,,,,,,,
33671,2017,1,1,22,495,588,5,152,7600,5,-3.9,-8.8,1015.7,0,1.5,Changping,,,,,,,,,,,,
33672,2017,1,1,23,478,572,5,151,7900,5,-4.7,-8.6,1016,0,1.5,Changping,,,,,,,,,,,,
